,Discovery_Method,Discovery_Year,Solution_type,Planet_Orbital_Period_[day],Planet_Orbital_SemiMajorAxis_[day],Planet_Radius_[Earth_radius],Planet_Mass_[Earth_mass],Planet_Mass_Provenance,Planet_Eccentricity,Planet_Eq_Temperature_[K],Stellar_Effective_Temperature_[K],Stellar_Radius_[Solar_radius],Stellar_Mass_[Solar_mass],Stellar_Metallicity_[dex],Stellar_Metallicity_Radio,Stellar_Surface_Gravity_[log10(cm/s**2)],Number_Stars,Number_Planets,System_Distance_[pc],System_V_Magnitude,System_Ks_Magnitude,System_Gaia_Magnitude
647,Radial Velocity,2003,Published Confirmed,441.47,1.18306,,534.25,Mass,0.162,,5935.0,1.18,1.08,0.26,[M/H],4.33,1,2,27.5902,6.54993,5.105,6.38964
648,Radial Velocity,2003,Published Confirmed,220.078,0.74345,,622.603,Mass,0.3663,,5935.0,1.18,1.08,0.26,[M/H],4.33,1,2,27.5902,6.54993,5.105,6.38964
649,Radial Velocity,2009,Published Confirmed,1628.0,2.73,,143.0235,Mass,0.059,176.0,5863.0,1.05,1.02,0.018,[Fe/H],4.4,1,2,45.683,7.93,6.463,7.7713
650,Transit,2020,Published Confirmed,3.98442,0.049,2.16,7.25,Mass,0.075,1311.0,5863.0,1.05,1.02,0.018,[Fe/H],4.4,1,2,45.683,7.93,6.463,7.7713
651,Radial Velocity,2004,Published Confirmed,3.4148674,0.04691,,324.1866,Mass,0.05,,5438.0,1.94,1.18,0.33,[Fe/H],3.94,1,1,73.6123,8.01852,6.199,7.80979
652,Transit,2018,Published Confirmed,11.8143,0.1066,7.398,34.9613,Mass,0.22,1089.0,5576.0,1.75,1.16,0.421,[Fe/H],4.02,1,1,132.345,9.38,7.721,9.21702
653,Transit,2018,Published Confirmed,11.81399,0.105,6.86,35.7,Mass,0.203,1053.0,5499.0,1.66,1.12,0.45,[Fe/H],4.04,1,1,132.345,9.38,7.721,9.21702
654,Transit,2018,Published Confirmed,11.8143,0.1115,7.263,38.45743,Mass,0.22,1068.0,5622.0,1.73,1.32,0.436,[Fe/H],4.08,1,1,132.345,9.38,7.721,9.21702
655,Imaging,2013,Published Confirmed,,56.0,,1589.0,Mass,,,,,1.6,,,,1,1,86.2279,7.36,6.789,7.30915
656,Imaging,2013,Published Confirmed,,55.7,,1589.0,Mass,,1000.0,,,1.6,,,,1,1,86.2279,7.36,6.789,7.30915
657,Imaging,2013,Published Confirmed,,,,1748.065,Mass,,1108.0,7595.0,1.49,1.77,,,4.34,1,1,86.2279,7.36,6.789,7.30915
658,Imaging,2013,Published Confirmed,,,,1430.235,Mass,,916.0,7595.0,1.49,1.77,,,4.34,1,1,86.2279,7.36,6.789,7.30915
659,Radial Velocity,2020,Published Confirmed,55.087,0.262,3.89,42.44,Mass,0.197,385.0,5212.0,0.87,0.83,0.04,[Fe/H],4.54,1,1,36.9941,8.62,6.591,8.38213
660,Disk Kinematics,2019,Published Confirmed,,130.0,,794.575,Mass,,,10000.0,2.25,2.4,,,,1,1,183.857,8.44,5.941,8.33867
661,Radial Velocity,2010,Published Confirmed,9.4897116,,2.12,8.3,Mass,0.05,751.0,5212.0,0.73,0.85,-0.23,[Fe/H],4.64,1,1,21.5618,7.76,5.734,7.5136
662,Radial Velocity,2010,Published Confirmed,9.4909,0.0796,2.341,7.86,Mass,0.063,,5119.0,0.7,0.75,-0.3,[Fe/H],4.62,1,1,21.5618,7.76,5.734,7.5136
663,Radial Velocity,2010,Published Confirmed,9.4909,,2.354,8.88263,Mass,0.06,,5175.0,0.74,0.89,-0.3,[Fe/H],4.49,1,1,21.5618,7.76,5.734,7.5136
664,Radial Velocity,2010,Published Confirmed,9.4903,0.08,2.247,7.55,Mass,0.078,757.0,5170.0,0.74,0.77,-0.23,[Fe/H],4.58,1,1,21.5618,7.76,5.734,7.5136
665,Transit,2014,Published Confirmed,9.1205,,2.466,12.7132,Mass,0.2,,5089.0,0.72,0.81,-0.16,[Fe/H],4.59,2,1,62.4491,10.19,8.029,9.93208
666,Transit,2014,Published Confirmed,9.1205,0.0906,2.53,11.82,Mass,0.205,690.0,5089.0,0.72,0.78,-0.16,[M/H],4.59,2,1,62.4491,10.19,8.029,9.93208
667,Transit,2020,Published Confirmed,0.9809734,0.01782,22.754,1021.18779,Mass,0.0,1411.0,4590.0,0.72,0.78,0.18,[Fe/H],4.61,2,1,61.7856,11.0,8.29,10.5895
668,Imaging,2017,Published Confirmed,,92.0,16.814,2860.47,Mass,,1500.0,8840.0,1.77,1.96,,,,1,1,108.875,7.01,6.771,6.98273
669,Radial Velocity,2015,Published Confirmed,2200.0,,,2002.2,Mass,0.0,,4890.0,5.92,1.63,0.0,[Fe/H],3.15,1,2,64.1181,6.17,3.751,5.89329
670,Imaging,2021,Published Confirmed,47000.0,30.0,22.418,7945.71018,Mass,0.5,2300.0,,,1.92,,,,2,1,125.212,7.78,7.302,7.73867
671,Imaging,2010,Published Confirmed,,,,7322.49,Mass,,,8738.0,2.11,2.19,,,4.13,1,1,136.759,7.1691,,7.14665
672,Imaging,2010,Published Confirmed,,740.0,,7700.0,Mass,,2700.0,10500.0,,2.5,,,,1,1,136.759,7.1691,,7.14665
673,Imaging,2010,Published Confirmed,,740.0,,7300.0,Mass,,2700.0,10500.0,,2.5,,,,1,1,136.759,7.1691,,7.14665
674,Imaging,2019,Published Confirmed,,345.0,,6515.515,Mass,,2450.0,,,3.75,,,,2,1,145.798,5.86,5.707,5.83871
675,Transit,2021,Published Confirmed,10.28891,0.089,2.74,20.0,Mass,0.16,757.0,5198.0,0.84,0.9,0.27,[Fe/H],4.41,1,2,65.9501,9.92,7.923,9.68443
676,Imaging,2006,Published Confirmed,,773.0,11.777,6991.57,Mass,,,,,,,,,1,1,18.1186,5.97707,4.559,5.82363
677,Imaging,2016,Published Confirmed,,20.3,12.442,9534.9,Mass,,1200.0,,,1.3,0.02,[M/H],,1,1,34.0071,6.11,5.02,5.99741
678,Imaging,2008,Published Confirmed,170000.0,68.0,13.0,2000.0,Mass,,,,,1.5,-0.47,[M/H],,1,4,41.2441,5.98,5.24,5.90914
679,Imaging,2008,Published Confirmed,69000.0,38.0,13.0,3000.0,Mass,,,,,1.5,-0.47,[M/H],,1,4,41.2441,5.98,5.24,5.90914
680,Imaging,2008,Published Confirmed,37000.0,24.0,13.0,3000.0,Mass,,,,,1.5,-0.47,[M/H],,1,4,41.2441,5.98,5.24,5.90914
681,Imaging,2010,Published Confirmed,,16.4,13.115,3178.3,Mass,0.15,1150.0,7400.0,,,-0.5,[Fe/H],4.0,1,4,41.2441,5.98,5.24,5.90914
682,Transit,2015,Published Confirmed,19.3044,,3.84,27.0,Mass,0.31,,5620.0,0.98,0.92,-0.07,[Fe/H],4.5,1,1,272.36,12.429,10.645,12.2156
683,Transit,2016,Published Confirmed,1.6739035,0.0301,3.88,21.8,Mass,0.0,1841.0,5945.0,1.24,1.15,0.22,[Fe/H],4.33,1,1,188.959,10.651,9.182,10.4053
684,Transit,2017,Published Confirmed,8.266902,0.081,3.59,30.0,Mass,,,5434.0,0.95,1.01,0.26,[Fe/H],4.48,1,1,197.989,11.752,10.091,11.7124
685,Transit,2017,Published Confirmed,3.31392,0.048,16.141,266.9772,Mass,0.0,1780.0,6030.0,1.78,1.3,0.1,[Fe/H],4.07,1,1,685.2,13.012,11.21,12.7669
686,Transit,2017,Published Confirmed,4.73401,0.0573,5.28,59.4,Mass,0.18,1446.0,5474.0,1.75,1.12,0.33,[Fe/H],3.99,1,1,477.295,12.339,10.561,12.1704
687,Transit,2017,Published Confirmed,13.86375,0.1021,2.592,16.7,Mass,0.079,640.0,5010.0,0.71,0.74,-0.34,[Fe/H],4.6,1,1,116.474,11.985,9.607,11.6627
688,Transit,2017,Published Confirmed,5.35117,0.0621,1.9,8.6,Mass,0.0,1309.0,5730.0,1.23,0.88,-0.53,[Fe/H],4.15,1,2,200.394,11.13,9.377,10.9294
689,Transit,2017,Published Confirmed,5.3518,0.057,1.82,5.29,Mass,0.13,,5775.0,1.25,0.84,-0.46,[Fe/H],4.25,1,2,200.394,11.13,9.377,10.9294
690,Transit,2017,Published Confirmed,5.817608,0.0558,10.424,410.0007,Mass,0.0,1178.0,5627.0,1.05,1.01,0.18,[Fe/H],4.4,1,1,635.722,13.744,11.949,13.5039
691,Transit,2017,Published Confirmed,11.39109,0.09309,10.559,587.9855,Mass,0.0,719.0,5027.0,0.83,0.83,0.41,[Fe/H],4.48,1,1,475.758,14.55,12.304,14.2751
692,Transit,2017,Published Confirmed,11.3909311,0.0943,10.447,638.8351,Mass,0.081,701.0,4920.0,0.82,0.86,0.41,[Fe/H],4.54,1,1,475.758,14.55,12.304,14.2751
693,Transit,2017,Published Confirmed,20.273034,0.1367,12.498,266.9772,Mass,0.137,682.0,5560.0,0.88,0.83,-0.22,[Fe/H],4.46,1,1,413.591,13.444,11.724,13.2
694,Transit,2017,Published Confirmed,0.369,,1.651,6.3,Mass,,,5200.0,0.74,0.79,-0.02,[Fe/H],4.62,1,1,152.509,12.129,10.051,11.8999
695,Transit,2017,Published Confirmed,0.3693038,,1.81,6.5,Mass,0.0,,5200.0,0.81,0.84,0.0,[Fe/H],4.62,1,1,152.509,12.129,10.051,11.8999
696,Transit,2017,Published Confirmed,,0.086,14.572,155.7367,Mass,0.36,,,3.85,1.08,,,,1,1,609.818,12.071,9.54,11.64
697,Transit,2017,Published Confirmed,9.1751,,14.572,155.7367,Mass,,,4840.0,3.85,1.08,-0.01,[Fe/H],3.3,1,1,609.818,12.071,9.54,11.64
698,Transit,2017,Published Confirmed,9.1708,0.0916,12.207,157.32585,Mass,0.29,1586.0,4878.0,4.11,1.19,-0.11,[Fe/H],3.35,1,1,609.818,12.071,9.54,11.64
699,Transit,2017,Published Confirmed,0.179715,0.0058,0.89,158.915,Mass,0.0,1471.0,3492.0,0.44,0.46,0.08,[Fe/H],4.82,1,1,98.8765,15.94,10.882,14.4345
700,Transit,2017,Published Confirmed,2.35309,0.03385,1.51,3.1,Mass,0.048,,5356.3,0.86,0.94,0.14,[M/H],4.54,1,6,202.585,12.246,10.305,12.0252
701,Transit,2017,Published Confirmed,3.56004,0.04461,2.299,6.31,Mass,0.045,,5356.3,0.86,0.94,0.14,[M/H],4.54,1,6,202.585,12.246,10.305,12.0252
702,Transit,2017,Published Confirmed,5.40479,0.05893,2.39,7.92,Mass,0.043,,5356.3,0.86,0.94,0.14,[M/H],4.54,1,6,202.585,12.246,10.305,12.0252
703,Transit,2017,Published Confirmed,8.26146,0.0782,3.39,12.97,Mass,0.077,,5356.3,0.86,0.94,0.14,[M/H],4.54,1,6,202.585,12.246,10.305,12.0252
704,Transit,2017,Published Confirmed,12.75758,0.10447,2.904,1.63,Mass,0.062,,5356.3,0.86,0.94,0.14,[M/H],4.54,1,6,202.585,12.246,10.305,12.0252
705,Transit,2021,Published Confirmed,41.96797,0.23109,3.013,4.32,Mass,0.059,,5356.3,0.86,0.94,0.14,[M/H],4.54,1,6,202.585,12.246,10.305,12.0252
706,Transit,2017,Published Confirmed,28.38236,0.179,9.057,123.00021,Mass,0.12,565.0,5340.0,0.86,0.92,0.22,[Fe/H],4.5,1,1,153.856,11.652,9.66,11.4626
707,Transit,2017,Published Confirmed,6.5693,0.0591,12.274,323.86877,Mass,0.12,1114.0,5654.0,0.99,1.0,0.12,[Fe/H],4.45,1,1,347.917,12.727,10.995,12.4814
708,Transit,2017,Published Confirmed,6.569188,0.068,13.563,295.58042,Mass,0.0,962.0,5585.0,1.06,0.96,0.1,[Fe/H],4.4,1,1,347.917,12.727,10.995,12.4814
709,Transit,2018,Published Confirmed,0.2803226,0.00716,1.54,5.31,Mass,0.0,2039.0,4373.0,0.67,0.66,0.03,[Fe/H],4.58,1,2,61.8736,11.454,8.401,10.7217
710,Transit,2018,Published Confirmed,0.28,,1.493,5.16,Mass,,,4599.0,0.69,0.71,0.06,[Fe/H],4.62,1,2,61.8736,11.454,8.401,10.7217
711,Transit,2018,Published Confirmed,0.2803244,,1.51,5.08,Mass,0.0,,4599.0,0.68,0.71,-0.06,[Fe/H],4.62,1,2,61.8736,11.454,8.401,10.7217
712,Transit,2018,Published Confirmed,7.7485,,7.0,7.4,Mass,0.0,,4599.0,0.68,0.71,-0.06,[Fe/H],4.62,1,2,61.8736,11.454,8.401,10.7217
713,Transit,2018,Published Confirmed,2.6446,,2.05,5.77,Mass,0.129,,3385.0,0.33,0.33,,,,1,2,79.3002,16.7,11.37,14.9834
714,Transit,2018,Published Confirmed,2.6698,0.0248,2.25,5.6,Mass,0.14,,3385.0,0.35,0.36,-0.02,[Fe/H],4.91,1,2,79.3002,16.7,11.37,14.9834
715,Transit,2019,Published Confirmed,3.9663,0.0327,2.59,7.1,Mass,0.16,,3385.0,0.35,0.36,-0.02,[Fe/H],4.91,1,2,79.3002,16.7,11.37,14.9834
716,Transit,2019,Published Confirmed,4.00498,,2.19,7.49,Mass,0.075,,3385.0,0.33,0.33,,,,1,2,79.3002,16.7,11.37,14.9834
717,Transit,2015,Published Confirmed,32.939623,0.1429,2.37,8.92,Mass,0.2,284.0,3457.0,0.41,0.36,0.12,[Fe/H],,1,2,38.0266,13.477,8.899,12.4154
718,Transit,2015,Published Confirmed,32.940045,0.1591,2.61,8.63,Mass,,255.0,3457.0,0.44,0.5,,,,1,2,38.0266,13.477,8.899,12.4154
719,Transit,2015,Published Confirmed,32.93963,0.143,2.38,7.96,Mass,0.43,235.0,3457.0,0.41,0.36,,,,1,2,38.0266,13.477,8.899,12.4154
720,Transit,2018,Published Confirmed,8.8665,0.075,2.242,11.44182,Mass,0.0,729.0,5110.0,0.69,0.71,-0.65,[Fe/H],4.3,1,1,203.896,12.557,10.677,12.4039
721,Transit,2018,Published Confirmed,4.7369683,0.0526,2.69,20.0,Mass,0.04,969.0,5170.0,0.79,0.86,0.12,[Fe/H],4.61,1,1,154.83,11.833,9.913,11.7202
722,Transit,2015,Published Confirmed,7.9222,,7.0,32.4,Mass,0.2,,5322.0,0.82,0.88,0.06,[Fe/H],4.51,1,3,289.827,13.024,11.161,12.8153
723,Transit,2015,Published Confirmed,7.9194,,7.74,28.5,Mass,0.0,,5430.0,0.86,0.93,0.1,[Fe/H],4.63,1,3,289.827,13.024,11.161,12.8153
724,Transit,2015,Published Confirmed,7.91951,,,54.4,Mass,0.023,,5250.0,0.88,0.92,0.1,[Fe/H],4.5,1,3,289.827,13.024,11.161,12.8153
725,Transit,2015,Published Confirmed,7.921101,0.0762,7.46,44.0,Mass,0.119,,5390.0,0.91,0.95,0.19,[Fe/H],4.49,1,3,289.827,13.024,11.161,12.8153
726,Transit,2015,Published Confirmed,11.9066,,,7.5,Mass,0.183,,5250.0,0.88,0.92,0.1,[Fe/H],4.5,1,3,289.827,13.024,11.161,12.8153
727,Transit,2015,Published Confirmed,11.90715,,4.86,25.6,Mass,0.0,,5430.0,0.86,0.93,0.1,[Fe/H],4.63,1,3,289.827,13.024,11.161,12.8153
728,Transit,2015,Published Confirmed,11.90727,0.1001,4.51,15.9,Mass,,,5390.0,0.91,0.95,0.19,[Fe/H],4.49,1,3,289.827,13.024,11.161,12.8153
729,Transit,2015,Published Confirmed,11.8993,,4.1,10.8,Mass,0.21,,5322.0,0.82,0.88,0.06,[Fe/H],4.51,1,3,289.827,13.024,11.161,12.8153
730,Transit,2016,Published Confirmed,2.5081,,1.11,10.0,Mass,,,5322.0,0.82,0.88,0.06,[Fe/H],4.51,1,3,289.827,13.024,11.161,12.8153
731,Transit,2016,Published Confirmed,2.50856,,1.14,14.0,Mass,0.0,,5430.0,0.86,0.93,0.1,[Fe/H],4.63,1,3,289.827,13.024,11.161,12.8153
732,Transit,2018,Published Confirmed,3.2253993,0.0382,1.73,6.9,Mass,0.02,913.0,4491.0,0.68,0.71,-0.01,[Fe/H],,1,2,107.518,12.358,9.625,11.9053
733,Transit,2018,Published Confirmed,7.3744897,0.0662,2.85,12.4,Mass,0.03,694.0,4491.0,0.68,0.71,-0.01,[Fe/H],,1,2,107.518,12.358,9.625,11.9053
734,Transit,2018,Published Confirmed,2.1748,0.028,1.75,8.0,Mass,0.0,1103.0,4503.0,0.72,0.7,0.0,[Fe/H],4.57,1,1,115.461,12.403,9.721,12.0576
735,Transit,2015,Published Confirmed,0.381078,0.0088,2.5,444.962,Mass,,2100.0,3830.0,0.57,0.6,0.03,[Fe/H],4.65,2,1,243.836,15.565,11.924,14.9537
736,Transit,2018,Published Confirmed,0.584,,1.197,2.49,Mass,,,5185.0,0.78,0.8,-0.06,[Fe/H],4.56,1,2,102.564,10.985,9.05,10.7861
737,Transit,2018,Published Confirmed,0.584249,0.012888,1.164,2.59,Mass,0.0,1960.0,5185.0,0.79,0.84,-0.06,[Fe/H],4.56,1,2,102.564,10.985,9.05,10.7861
738,Transit,2018,Published Confirmed,8.32834,0.07577,2.12,21.3,Mass,0.0,800.0,5185.0,0.79,0.84,-0.06,[Fe/H],4.56,1,2,102.564,10.985,9.05,10.7861
739,Transit,2018,Published Confirmed,11.168459,0.0991,11.859,123.00021,Mass,0.255,1001.0,5888.0,1.23,1.04,0.051,[Fe/H],4.27,1,1,130.72,9.822,8.434,9.72626
740,Transit,2018,Published Confirmed,11.168454,0.10356,11.209,126.49634,Mass,0.258,1030.0,6154.0,1.16,1.19,0.1,[Fe/H],4.38,1,1,130.72,9.822,8.434,9.72626
741,Transit,2018,Published Confirmed,2.4675,0.03308,1.343,11.26,Mass,0.079,1121.0,5033.0,0.71,0.79,-0.09,[Fe/H],4.64,1,3,67.5062,10.883,8.375,10.4191
742,Transit,2018,Published Confirmed,7.06005,0.06666,1.281,12.81,Mass,0.2002,790.0,5033.0,0.71,0.79,-0.09,[Fe/H],4.64,1,3,67.5062,10.883,8.375,10.4191
743,Transit,2018,Published Confirmed,24.3645,0.15224,2.358,21.14,Mass,0.1999,523.0,5033.0,0.71,0.79,-0.09,[Fe/H],4.64,1,3,67.5062,10.883,8.375,10.4191
744,Transit,2018,Published Confirmed,2.18053539,0.03558,16.197,433.20012,Mass,0.042,1828.0,6360.0,1.26,1.26,0.137,[Fe/H],4.34,1,1,314.995,11.602,10.217,11.4668
745,Transit,2018,Published Confirmed,2.18056,0.037,18.495,508.528,Mass,0.0,1884.0,6257.0,1.43,1.28,0.14,[Fe/H],4.24,1,1,314.995,11.602,10.217,11.4668
746,Transit,2018,Published Confirmed,2.1805577,0.0353,18.405,392.83788,Mass,0.0,1838.0,6099.0,1.38,1.23,0.0,[Fe/H],4.27,1,1,314.995,11.602,10.217,11.4668
747,Transit,2018,Published Confirmed,3.20466,0.046,14.572,273.3338,Mass,0.0,1587.0,5630.0,1.59,1.19,0.34,[Fe/H],4.11,1,1,537.963,13.973,12.032,13.6635
748,Transit,2016,Published Confirmed,20.88977,,5.4,19.0,Mass,0.06,,5625.0,1.16,1.07,0.34,[Fe/H],4.29,1,2,170.562,11.275,9.18,10.9072
749,Transit,2016,Published Confirmed,20.8851,,5.68,19.8,Mass,0.0,,5743.0,1.21,1.12,0.42,[Fe/H],4.29,1,2,170.562,11.275,9.18,10.9072
750,Transit,2016,Published Confirmed,20.8851,0.154,5.68,21.0,Mass,0.0,767.0,5743.0,1.21,1.12,0.42,[Fe/H],4.29,1,2,170.562,11.275,9.18,10.9072
751,Transit,2016,Published Confirmed,42.3391,,7.5,15.4,Mass,0.07,,5625.0,1.16,1.07,0.34,[Fe/H],4.29,1,2,170.562,11.275,9.18,10.9072
752,Transit,2016,Published Confirmed,42.3633,0.247,7.82,27.0,Mass,0.0,606.0,5743.0,1.21,1.12,0.42,[Fe/H],4.29,1,2,170.562,11.275,9.18,10.9072
753,Transit,2016,Published Confirmed,42.3633,,7.82,26.0,Mass,0.0,,5743.0,1.21,1.12,0.42,[Fe/H],4.29,1,2,170.562,11.275,9.18,10.9072
754,Transit,2015,Published Confirmed,3.48456408,0.0287,3.44,24.5,Mass,0.428,494.0,3207.0,0.29,0.26,0.15,[Fe/H],4.94,1,1,44.9565,16.21,10.444,14.3817
755,Transit,2018,Published Confirmed,2.6266657,0.0404,17.396,451.3186,Mass,0.0,1957.0,6367.0,1.69,1.39,-0.14,[Fe/H],4.15,1,1,663.834,12.624,11.093,12.4667
756,Transit,2018,Published Confirmed,11.633478,0.1087,9.505,67.69745,Mass,0.248,1030.0,5503.0,1.64,1.27,0.384,[Fe/H],4.11,1,1,213.283,10.612,8.89,10.4594
757,Transit,2018,Published Confirmed,11.633478,0.1034,9.528,59.75174,Mass,0.286,1046.0,5445.0,1.64,1.09,0.36,[Fe/H],4.04,1,1,213.283,10.612,8.89,10.4594
758,Transit,2018,Published Confirmed,11.63344,0.102,9.528,70.87609,Mass,0.39,1080.0,5537.0,1.65,1.1,0.36,[Fe/H],4.21,1,1,213.283,10.612,8.89,10.4594
759,Transit,2018,Published Confirmed,50.818947,0.2573,2.41,14.8,Mass,0.14,470.0,5368.0,0.85,0.88,-0.08,[m/H],4.51,1,1,162.481,11.568,9.748,11.4055
760,Transit,2018,Published Confirmed,2.369172,0.03376,1.71,6.54,Mass,0.084,,5477.0,0.98,0.92,0.078,[Fe/H],4.42,2,1,138.671,11.187,9.259,10.9277
761,Transit,2018,Published Confirmed,14.697,0.1035,2.93,8.9,Mass,0.047,538.0,4285.0,0.7,0.69,-0.12,[Fe/H],4.58,2,4,77.5586,11.625,8.897,11.3527
762,Transit,2018,Published Confirmed,19.482,0.1249,2.73,14.3,Mass,0.043,490.0,4285.0,0.7,0.69,-0.12,[Fe/H],4.58,2,4,77.5586,11.625,8.897,11.3527
763,Transit,2016,Published Confirmed,6.771315,0.06702,4.48,30.9,Mass,0.251,902.0,5248.0,0.89,0.87,0.13,[Fe/H],4.48,3,1,249.645,12.689,10.704,12.4528
764,Transit,2016,Published Confirmed,6.77145,,4.45,29.1,Mass,0.16,,5320.0,0.85,0.89,0.14,[Fe/H],4.6,3,1,249.645,12.689,10.704,12.4528
765,Transit,2018,Published Confirmed,19.89526,0.1461,7.5,37.1,Mass,0.35,787.0,5500.0,1.28,1.03,0.33,[Fe/H],4.21,1,1,391.537,12.524,10.765,12.3604
766,Transit,2018,Published Confirmed,3.471745,0.03817,2.59,9.68,Mass,0.0,1089.0,4975.0,0.79,0.83,0.0,[Fe/H],4.4,1,4,154.961,12.075,9.971,11.804
767,Transit,2018,Published Confirmed,7.138048,0.0824,3.53,15.68,Mass,0.0,741.0,4975.0,0.79,0.83,0.0,[Fe/H],4.4,1,4,154.961,12.075,9.971,11.804
768,Transit,2018,Published Confirmed,10.45582,0.1178,2.48,6.5,Mass,0.0,620.0,4975.0,0.79,0.83,0.0,[Fe/H],4.4,1,4,154.961,12.075,9.971,11.804
769,Transit,2018,Published Confirmed,14.76289,0.18041,1.95,10.7,Mass,0.0,501.0,4975.0,0.79,0.83,0.0,[Fe/H],4.4,1,4,154.961,12.075,9.971,11.804
770,Transit,2018,Published Confirmed,14.893291,0.1206,9.494,100.11645,Mass,0.478,804.0,5695.0,1.07,1.06,0.2,[Fe/H],4.4,1,1,158.335,11.41,9.188,11.067
771,Transit,2016,Published Confirmed,3.2589263,0.04097,11.209,194.82979,Mass,0.084,1076.0,5222.0,0.75,0.86,0.0,[Fe/H],4.63,2,1,178.475,12.532,10.062,12.2008
772,Transit,2016,Published Confirmed,3.2588321,0.04217,13.339,232.0159,Mass,0.066,1171.0,5358.0,0.86,0.94,0.16,[Fe/H],4.54,2,1,178.475,12.532,10.062,12.2008
773,Transit,2019,Published Confirmed,9.21165,0.0923,3.06,10.9,Mass,0.0,1230.0,6302.0,1.51,1.19,-0.06,[Fe/H],4.23,3,2,272.909,11.114,9.42,10.8204
774,Transit,2019,Published Confirmed,48.36685,0.305,11.276,246.00042,Mass,0.0,676.0,6302.0,1.51,1.19,-0.06,[Fe/H],4.23,3,2,272.909,11.114,9.42,10.8204
775,Transit,2019,Published Confirmed,2.225,,1.582,6.4,Mass,,,5520.0,0.9,0.93,0.08,[Fe/H],4.5,1,1,90.0562,10.014,8.353,9.86639
776,Transit,2019,Published Confirmed,2.225177,0.03261,1.589,6.49,Mass,0.0,,5520.0,0.9,0.93,0.08,[Fe/H],4.5,1,1,90.0562,10.014,8.353,9.86639
777,Transit,2019,Published Confirmed,16.9841,0.13,2.63,24.5,Mass,0.04,795.0,5725.0,1.09,1.0,0.07,[Fe/H],4.33,1,1,114.293,9.885,8.407,9.75597
778,Transit,2018,Published Confirmed,4.024867,0.0451,10.054,106.47305,Mass,0.0,852.0,4444.0,0.7,0.74,0.14,[Fe/H],4.63,1,1,232.801,13.8941,,13.5184
779,Transit,2015,Published Confirmed,10.054626,,,6.48,Mass,0.0,,3896.0,0.56,0.6,-0.32,[Fe/H],4.73,1,3,44.0727,12.168,8.561,11.4785
780,Transit,2015,Published Confirmed,10.05403,,2.14,8.1,Mass,0.0,,3896.0,0.56,0.6,-0.32,[Fe/H],4.72,1,3,44.0727,12.168,8.561,11.4785
781,Transit,2015,Published Confirmed,10.05429,0.0775,2.078,8.4,Mass,0.06,,,0.55,0.61,,,4.73,1,3,44.0727,12.168,8.561,11.4785
782,Transit,2015,Published Confirmed,10.05454,0.0777,2.29,6.6,Mass,,,3835.0,0.6,0.62,-0.01,[Fe/H],4.66,1,3,44.0727,12.168,8.561,11.4785
783,Transit,2015,Published Confirmed,24.64638,0.1413,1.77,3.1,Mass,,,3835.0,0.6,0.62,-0.01,[Fe/H],4.66,1,3,44.0727,12.168,8.561,11.4785
784,Transit,2015,Published Confirmed,24.6491,0.1405,1.644,2.1,Mass,0.04,,,0.55,0.61,,,4.73,1,3,44.0727,12.168,8.561,11.4785
785,Transit,2015,Published Confirmed,24.646582,,,2.14,Mass,0.0,,3896.0,0.56,0.6,-0.32,[Fe/H],4.73,1,3,44.0727,12.168,8.561,11.4785
786,Transit,2015,Published Confirmed,24.6454,,1.72,4.2,Mass,0.0,,3896.0,0.56,0.6,-0.32,[Fe/H],4.72,1,3,44.0727,12.168,8.561,11.4785
787,Transit,2015,Published Confirmed,44.55764,0.2097,1.65,1.8,Mass,,,3835.0,0.6,0.62,-0.01,[Fe/H],4.66,1,3,44.0727,12.168,8.561,11.4785
788,Transit,2015,Published Confirmed,44.5705,0.2086,1.53,11.1,Mass,0.045,,,0.55,0.61,,,4.73,1,3,44.0727,12.168,8.561,11.4785
789,Transit,2015,Published Confirmed,44.55646,,,2.80007,Mass,0.0,,3896.0,0.56,0.6,-0.32,[Fe/H],4.73,1,3,44.0727,12.168,8.561,11.4785
790,Transit,2015,Published Confirmed,44.5631,,1.52,7.5,Mass,0.0,,3896.0,0.56,0.6,-0.32,[Fe/H],4.72,1,3,44.0727,12.168,8.561,11.4785
791,Transit,2016,Published Confirmed,4.09849,0.0419,11.982,187.20187,Mass,0.08,1203.0,5575.0,0.84,0.92,0.06,[Fe/H],4.6,1,1,333.042,13.547,11.088,13.2056
792,Transit,2016,Published Confirmed,4.098503,0.04839,11.646,184.02357,Mass,0.0,1092.0,5425.0,0.84,0.9,-0.15,[Fe/H],4.54,1,1,333.042,13.547,11.088,13.2056
793,Transit,2016,Published Confirmed,4.098507,0.04986,13.406,198.00809,Mass,0.027,1185.0,5581.0,0.94,0.98,0.136,[Fe/H],4.48,1,1,333.042,13.547,11.088,13.2056
794,Transit,2016,Published Confirmed,1.25785,0.022,11.882,563.83042,Mass,0.0,,5280.0,0.78,0.91,0.08,[Fe/H],4.6,2,1,110.527,10.802,8.866,10.5371
795,Transit,2016,Published Confirmed,1.25785,,,590.1,Mass,0.0,,5412.0,0.99,1.0,0.2,[Fe/H],4.44,2,1,110.527,10.802,8.866,10.5371
